Bug ID,Severity,Status,Area,Page(s),Title,Devices Affected,Steps to Reproduce,Expected,Actual,Likely Root Cause,Notes / Caveat
BUG-1,HIGH,Open,Messaging,/messages (logged-in),Messaging page shows "casino offer unavailable" instead of inbox,All 6,Log in > open /messages,Member messaging inbox,"""Continue to Casino - This casino offer is unavailable"" error card",Route falling through casino-offers handler (see BUG-4),Verify whether email verification gates this
BUG-2,HIGH,Open,Tokens,/tokens (logged-in),Tokens page shows "casino offer unavailable" error,All 6,Log in > open /tokens,Token packages view,Same casino-offer error as /messages,Same as BUG-4,Token buy/spend not live yet but page should not error
BUG-3,HIGH,Open,Tokens,/tokens/purchase (logged-in),Token purchase page is a hard 404,All 6,Log in > open /tokens/purchase,Purchase flow,"404 page (""vanished into the golden abyss""); title tokens/purchase - Feist.tv",Route not built,
BUG-4,HIGH,Open,API,"/become-a-model, /contact, /messages, /tokens, /account",Misfiring API call /api/casino-offers/<page>/share returns 404,All (console error on 5; Firefox hides detail),Open affected page > check console/network,No failed request,GET api.jackpotstreamers.com/api/casino-offers/{page}/share -> 404,Share/meta feature wrongly prefixing every route with casino-offers/,Likely same root cause as BUG-1/BUG-2
BUG-5,HIGH,Open,Access,/performers + all /performer/*,Logged-out visitors cannot browse performers (redirect to login),All 6,Log out > open /performers or any /performer/<name>,Public performer listing/profiles,Redirects to /login,Auth gate on public routes,CONFIRM if intended - major SEO/conversion impact
BUG-6,MEDIUM,Open,Settings,/settings (logged-in),Avatar uses dev placeholder via.placeholder.com (TLS fail),iPhone (likely all),Log in > open /settings,Real avatar image,Broken/blank avatar; via.placeholder.com/100 TLS error,Leftover dev placeholder in production,
BUG-7,MEDIUM,Open,Performers,/performers (logged-in),"""testonlyaccount"" card shows raw image-upload dropzone",iPhone (grid),Log in > open /performers > find testonlyaccount card,Photo or fallback avatar,"""drop your image JPEG and PNG"" upload widget shown publicly",No fallback for performers without image,testonlyaccount also looks like test data to remove
BUG-8,MEDIUM,Open,Global UI,Site-wide (performer profile / tokens / messages),"Stray ""Field is"" empty input leaking above footer",iPhone (likely all),Open affected page > scroll above footer,No stray field,Unlabeled empty input box labelled "Field is",Unfinished/broken global component,
BUG-9,MEDIUM,Open,Legal pages,"/privacy, /terms, /kyc, /contact, /become-a-model",Console errors on logged-out legal/info pages,5,Open page logged out > check console,No console error,casino-offers/{page}/share 404,Same as BUG-4,Grouped with BUG-4; listed for logged-out coverage
BUG-10,LOW,Open,Mobile UX,Site-wide,Small tap targets below 44px (mobile),iPhone 14 Pro / Samsung Galaxy S23,Open any page on mobile,Tap targets >= 44x44px,23-40 elements/page under 44px,Missing min tap-target sizing,Apple HIG / WCAG 2.5.5
POS-1,Good,Pass,Layout,All pages,No horizontal overflow on any device,All 6,,No horizontal scroll,No overflow anywhere,,Was broken on old sexystreamers site
POS-2,Good,Pass,Branding,31 pages,Rebrand to feist.tv is clean (text),Desktop,,0 "Jackpot" references,0 of 31 pages reference Jackpot in copy/title/meta/alt,,"Manual check still needed for logo/favicon/share images (text scan only)"
POS-3,Good,Pass,Routing,"/tokens, /account, /settings, /messages, /kyc",Routes now exist (were 404 on old site),All 6,,Routes load,200 (though /tokens & /messages error - see BUG-1/2),,
